,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,USDSGD=X,739601,1.35207998752594,0.289145827293396
1,2019-04-30,SELL,USDSGD=X,739601,1.361549973487854,1007004.0110874176
2,2019-04-30,BUY,NZDUSD=X,1510385,0.6667200326919556,0.07450997829437256
3,2019-06-28,SELL,NZDUSD=X,1510385,0.66806960105896,1009042.3789054155
4,2019-07-31,BUY,GBPUSD=X,825901,1.2217471599578857,0.17774903774261475
5,2019-08-30,SELL,GBPUSD=X,825901,1.2218515872955322,1009128.6255480051
6,2019-08-30,BUY,NZDUSD=X,1592364,0.6337296366691589,0.3663829565048218
7,2019-12-31,SELL,NZDUSD=X,1592364,0.6706413626670837,1067905.5292049646
